input_row,standard_postcode,TOT_PERS1115jul,OCC_HH1115jul,X_BNG1115jul,Y_BNG1115jul,input_postcode 
4,EC4M9AD ,43.0,2.0,532160,181151,EC4M 9AD
7,NW3 2NY ,25.0,12.0,527612,185522,NW3 2NY
8,NW1 3EX ,34.0,13.0,529076,182495,NW1 3EX
10,NW6 1QL ,3.0,1.0,524888,185067,NW6 1QL
11,NW1 9AL ,17.0,9.0,529912,184835,NW1 9AL
13,NW5 4AX ,100.0,54.0,528363,185256,NW5 4AX
15,NW3 2QT ,78.0,45.0,527600,185444,NW3 2QT
16,NW1 8RP ,52.0,20.0,528852,184278,NW1 8RP
17,NW1 3EX ,34.0,13.0,529076,182495,NW1 3EX
18,NW3 1HU ,1.0,1.0,526506,185937,NW3 1HU
19,NW1 8JL ,30.0,19.0,528274,183871,NW1 8JL
20,NW5 3HB ,53.0,22.0,528297,184820,NW5 3HB
21,NW1 0LL ,2.0,2.0,529342,183487,NW1 0LL
22,NW5 2SJ ,10.0,3.0,529559,185072,NW5 2SJ
23,NW3 2JB ,61.0,27.0,528150,185587,NW3 2JB
24,NW3 6NP ,49.0,20.0,526566,185411,NW3 6NP
25,NW5 2JA ,32.0,11.0,529110,185577,NW5 2JA
28,NW6 1TF ,15.0,4.0,525264,185212,NW6 1TF
29,NW3 6TX ,7.0,3.0,526338,185744,NW3 6TX
31,NW1 8DE ,25.0,12.0,528715,184480,NW1 8DE
33,NW3 2AE ,70.0,37.0,527249,185230,NW3 2AE
34,EC1N7SD ,54.0,20.0,531206,181845,EC1N 7SD
36,NW5 4JS ,30.0,14.0,527842,185252,NW5 4JS
37,WC1N2NX ,9.0,5.0,530788,182024,WC1N 2NX
39,NW6 4PG ,24.0,9.0,525389,183932,NW6 4PG
41,NW1 0JA ,8.0,3.0,529204,183886,NW1 0JA
42,NW5 3AH ,1.0,1.0,528861,185010,NW5 3AH
43,NW3 3DS ,58.0,29.0,527441,184096,NW3 3DS
48,NW1 1RX ,13.0,5.0,529607,183196,NW1 1RX
52,NW1 1TA ,17.0,5.0,529666,182953,NW1 1TA
53,NW5 1RN ,4.0,1.0,528267,186049,NW5 1RN
54,NW5 1RP ,12.0,1.0,528379,186191,NW5 1RP
56,NW3 5AE ,1.0,1.0,526978,185153,NW3 5AE
57,NW3 7SR ,59.0,23.0,525521,185826,NW3 7SR
58,NW3 3EL ,112.0,47.0,527397,184510,NW3 3EL
60,NW3 6XH ,4.0,1.0,526202,185414,NW3 6XH
61,NW1 7HB ,80.0,42.0,528745,183896,NW1 7HB
62,NW3 6PG ,10.0,1.0,526543,185092,NW3 6PG
63,NW3 5RR ,16.0,5.0,526338,184787,NW3 5RR
64,NW3 4NY ,72.0,33.0,526991,184544,NW3 4NY
65,NW3 6NP ,49.0,20.0,526566,185411,NW3 6NP
66,NW3 5JY ,184.0,84.0,526553,184815,NW3 5JY
69,NW3 5UD ,13.0,0.0,526640,185531,NW3 5UD
70,NW3 3ET ,38.0,22.0,526943,184407,NW3 3ET
71,NW3 5SS ,3.0,2.0,526491,184607,NW3 5SS
72,NW3 2YN ,70.0,34.0,527787,184880,NW3 2YN
73,NW3 1JA ,42.0,11.0,526511,185975,NW3 1JA
74,NW3 6AE ,23.0,15.0,526427,185387,NW3 6AE
75,NW6 3LP ,73.0,37.0,526235,184451,NW6 3LP
77,NW3 4YD ,33.0,17.0,527527,184564,NW3 4YD
78,NW6 3PL ,84.0,48.0,525571,184224,NW6 3PL
79,NW2 3XL ,8.0,0.0,524350,185100,NW2 3XL
81,NW3 5TH ,41.0,15.0,526364,185050,NW3 5TH
83,NW1 8DP ,30.0,10.0,528594,184450,NW1 8DP
84,NW3 2QG ,1.0,1.0,527297,185410,NW3 2QG
87,SE7 8AF ,49.0,17.0,541762,178538,SE7 8AF
88,SE2 0SX ,25.0,12.0,546766,178474,SE2 0SX
89,SE100EA ,13.0,6.0,539394,178390,SE10 0EA
90,SE9 6HR ,48.0,16.0,541703,175506,SE9 6HR
91,SE181HE ,140.0,44.0,545631,178510,SE18 1HE
92,SE137QP ,4.0,1.0,538003,176437,SE13 7QP
93,SE7 7DG ,75.0,28.0,541293,177194,SE7 7DG
94,SE9 6BP ,56.0,23.0,541502,175048,SE9 6BP
95,SE7 7NQ ,157.0,59.0,540836,178052,SE7 7NQ
96,SE181JR ,136.0,40.0,545781,178198,SE18 1JR
97,SE9 1QG ,24.0,11.0,542723,175291,SE9 1QG
98,SE9 3JN ,61.0,15.0,543111,172445,SE9 3JN
100,SE9 6NZ ,67.0,33.0,541991,175735,SE9 6NZ
103,SE109NY ,33.0,15.0,538932,178035,SE10 9NY
104,SE183HW ,9.0,4.0,544124,177379,SE18 3HW
106,SE7 8AE ,93.0,26.0,541847,178482,SE7 8AE
107,SE9 2EH ,69.0,32.0,543992,173239,SE9 2EH
108,SE9 3EY ,64.0,29.0,543438,171845,SE9 3EY
109,SE2 9JP ,31.0,13.0,547023,179270,SE2 9JP
110,SE2 9PD ,57.0,25.0,546568,179503,SE2 9PD
112,SE185LP ,1.0,1.0,542637,178859,SE18 5LP
113,SE280EA ,63.0,44.0,544682,179291,SE28 0EA
115,SE187JJ ,26.0,9.0,543906,178145,SE18 7JJ
116,SE182QQ ,14.0,4.0,544924,177626,SE18 2QQ
121,SE9 1TR ,49.0,22.0,543023,174479,SE9 1TR
122,SE7 7HR ,45.0,19.0,540947,177781,SE7 7HR
123,SE109AN ,47.0,24.0,539324,178289,SE10 9AN
124,SE187RL ,72.0,27.0,544147,177987,SE18 7RL
126,SE187QG ,88.0,28.0,544881,178668,SE18 7QG
128,SE187BN ,116.0,42.0,543739,178436,SE18 7BN
129,SE9 6NS ,50.0,20.0,542152,175717,SE9 6NS
130,SE2 9LY ,53.0,20.0,546166,179075,SE2 9LY
132,SE183SJ ,177.0,57.0,543557,177725,SE18 3SJ
134,SE288LW ,31.0,14.0,547072,181033,SE28 8LW
137,SE3 9PX ,2.0,1.0,540856,175919,SE3 9PX
140,SE288AS ,1.0,1.0,546663,180598,SE28 8AS
141,SE3 7TH ,52.0,26.0,540202,177015,SE3 7TH
143,SE128UF ,2.0,1.0,540399,174907,SE12 8UF
144,SE9 3QS ,49.0,27.0,543742,172774,SE9 3QS
146,SE3 0TG ,115.0,51.0,539718,176118,SE3 0TG
147,SE9 5LX ,39.0,15.0,541633,174218,SE9 5LX
148,E9  5BY ,98.0,38.0,535916,184524,E9 5BY
149,N1  5RF ,11.0,5.0,533216,183634,N1 5RF
151,E8  2LG ,111.0,54.0,533731,185118,E8 2LG
152,E5  0EG ,45.0,16.0,536135,185543,E5 0EG
153,N1  4BZ ,5.0,2.0,533419,184692,N1 4BZ
155,E9  7JS ,79.0,32.0,535552,183803,E9 7JS
156,E8  3RL ,3.0,3.0,534762,183860,E8 3RL
160,E8  4ET ,50.0,18.0,533825,184027,E8 4ET
161,E2  8JG ,4.0,2.0,533612,183330,E2 8JG
162,N16 8DF ,127.0,69.0,533391,185517,N16 8DF
163,E2  8QH ,9.0,6.0,534277,183380,E2 8QH
164,E8  2EA ,34.0,18.0,533787,185503,E8 2EA
165,E5  9NL ,4.0,1.0,535010,186746,E5 9NL
166,N1  7HA ,38.0,12.0,532458,183344,N1 7HA
167,N16 6QA ,118.0,30.0,534037,187356,N16 6QA
168,N1  5JN ,6.0,2.0,532859,183527,N1 5JN
169,N4  1SY ,19.0,7.0,532375,187769,N4 1SY
170,E9  5PP ,3.0,1.0,536310,185685,E9 5PP
171,N16 5ED ,19.0,9.0,533064,187503,N16 5ED
172,N16 9PD ,93.0,52.0,532936,185818,N16 9PD
173,N16 6NR ,1.0,1.0,534149,187016,N16 6NR
174,E5  8PH ,162.0,53.0,534351,186135,E5 8PH
175,E5  8DN ,32.0,17.0,534695,186107,E5 8DN
176,E5  9EY ,26.0,10.0,535037,187224,E5 9EY
177,N16 5PU ,46.0,22.0,533562,187466,N16 5PU
178,N16 0QP ,79.0,32.0,532963,186776,N16 0QP
179,N4  2HQ ,3.0,1.0,531839,186844,N4 2HQ
181,E5  0BT ,85.0,30.0,535951,186066,E5 0BT
182,E8  3DY ,20.0,13.0,533694,184692,E8 3DY
183,N1  4DG ,57.0,28.0,533348,184589,N1 4DG
185,N16 8DD ,2.0,1.0,533260,185483,N16 8DD
187,E8  4PB ,110.0,64.0,534316,183882,E8 4PB
188,E9  7JF ,109.0,43.0,535320,184155,E9 7JF
189,N16 0JT ,6.0,2.0,533036,186522,N16 0JT
190,E5  8BS ,214.0,108.0,534585,186189,E5 8BS
191,N16 6PD ,21.0,8.0,533914,186935,N16 6PD
193,N16 9EX ,89.0,48.0,532879,186072,N16 9EX
198,N16 6AX ,13.0,7.0,534280,187014,N16 6AX
199,N16 5DL ,111.0,47.0,533108,187933,N16 5DL
200,N16 5DL ,111.0,47.0,533108,187933,N16 5DL
202,N16 6XD ,42.0,13.0,533872,187069,N16 6XD
203,N16 6XB ,67.0,19.0,533841,187130,N16 6XB
204,N16 6UE ,181.0,47.0,533821,187920,N16 6UE
205,N16 5NH ,48.0,14.0,533054,187245,N16 5NH
206,N16 6JJ ,154.0,51.0,534365,187121,N16 6JJ
207,E5  0JP ,133.0,50.0,535758,185949,E5 0JP
209,E5  8NP ,31.0,17.0,534629,185541,E5 8NP
211,E9  5RB ,162.0,65.0,536229,184909,E9 5RB
213,W12 9JA ,230.0,100.0,522617,179665,W12 9JA
214,W14 9BH ,108.0,44.0,524152,178541,W14 9BH
215,W6  8PF ,75.0,24.0,524074,177622,W6 8PF
216,W14 0DT ,58.0,22.0,523764,179434,W14 0DT
218,W6  0BA ,86.0,41.0,522760,179365,W6 0BA
219,W12 8JJ ,45.0,21.0,523008,179917,W12 8JJ
221,NW106AL ,28.0,9.0,522490,182896,NW10 6AL
223,W12 0AS ,161.0,52.0,521755,181514,W12 0AS
224,SW6 7LN ,37.0,19.0,524449,177558,SW6 7LN
225,W12 9LB ,116.0,55.0,521697,179771,W12 9LB
226,W12 0SR ,67.0,18.0,522219,180636,W12 0SR
227,SW6 6ED ,2.0,1.0,524167,176390,SW6 6ED
228,SW6 4BL ,28.0,14.0,525279,176762,SW6 4BL
229,W6  0UA ,47.0,15.0,522438,179207,W6 0UA
230,W6  8QE ,5.0,1.0,524414,177667,W6 8QE
232,W14 0LT ,76.0,36.0,523932,179282,W14 0LT
233,W6  9BP ,5.0,1.0,523176,178344,W6 9BP
234,W6  9BA ,21.0,12.0,522230,178479,W6 9BA
235,W12 8LH ,64.0,23.0,523108,180004,W12 8LH
236,W12 9BY ,138.0,59.0,521869,179672,W12 9BY
237,W12 7QT ,143.0,53.0,522670,180653,W12 7QT
238,SW6 7HB ,49.0,23.0,524635,177397,SW6 7HB
240,W6  7EA ,74.0,21.0,523571,178875,W6 7EA
241,W6  0PG ,4.0,1.0,522972,178861,W6 0PG
