X,Y
532191.8054120461,181797.76696359494
532046.8092191624,181204.84221151884
530351.0122946047,182456.68621753197
527496.3385798786,185577.2647719523
524823.3991443793,185129.6823294686
528250.2606630751,185309.33503848076
527487.3915554894,185497.26485225512
528700.2474783009,183003.57657804486
525144.6716168886,185265.3282965559
528602.2615785482,184533.40252282366
527136.3835023635,185283.2835152087
527729.3025742947,185305.30714928452
525276.6530348362,183985.42680094682
529091.1407347276,183939.43878825527
529201.9436281953,183936.8081007502
527968.3045493681,184550.4104939805
528256.2324552747,186071.19126028247
529452.8843507203,183276.84938640427
528953.9607704103,185974.62662265223
529328.1466955306,184712.4156537254
529570.9229019233,182977.8935587458
526867.2296485596,185206.6691061973
526089.5619627762,185467.3130285219
527006.4171687962,185476.29162428685
526527.495128809,185584.25584978925
527414.4078295755,184617.35093143
526256.259886698,185045.66616717004
528476.2405469881,184518.41445268394
537248.1632718723,177728.19253493246
541647.6039278763,178592.10142969206
541876.6188901917,175789.48909622035
541131.688094364,176574.37937876733
538817.9913730732,178089.17417103332
541732.5957749765,178536.16382857348
542546.5248626167,178919.12972611247
543791.3634858299,178199.19985518383
541427.6515952838,177429.28380983183
539329.9211023408,178462.1466446183
543124.4139863747,176609.3869106187
542906.4594513383,174541.6690072408
544766.2238824186,178722.17249635886
543624.3879544478,178490.13830085692
543442.4277739762,177779.28732708102
546957.9123077372,181073.89299114962
544735.2268355906,177998.21056246414
540733.7428824696,176125.4906211184
538476.001125198,177142.2761669089
546547.9653619921,180651.978620762
540285.8010028464,174961.55791938066
539603.904026973,176172.45989962632
533627.4668302855,185172.60091063922
535443.3960019688,183858.51627813815
535136.268833345,184970.58016134414
535280.4011868332,184295.45943262882
533797.4657355646,184137.14278906275
535835.3486897442,186123.2101452957
533145.6659143249,185535.34149183606
534202.5438226474,183935.46774155652
532765.7018602523,186125.21685838973
535022.4357568715,184691.37829087226
535425.3496853493,184960.37832805148
533416.6249443449,187958.08794893825
534146.3341915787,187068.40593194735
533758.5940473631,187122.13506958832
534525.5025613175,185600.36444832408
536115.3062645608,184962.38461110956
522504.0300642535,179717.9746554005
522686.9981542707,179412.98611337756
